"company_number","index_membership","se_code","name"
1611,2,"DIDPL K","Diploma plc"
1620,0,"DIXOREO","Dixons Retail plc"
1659,0,"DORI  S","Dowding & Mills"
1688,0,"DULX  3","Dunedin Smaller Cos Inv Tr"
1724,0,"EMAM  P","EMAP plc"
1725,0,"LOJM  Y","London Finance & Inv Group"
1736,0,"LIOK  1","Linton Park plc"
1755,2,"EDIQ  B","Edinburgh Investment Trust"
1761,0,"SADYF Y","Safeway plc"
1769,0,"ELORO Q","El Oro Mining & Expl Co"
1770,0,"ELCO  C","Elbief plc"
1772,0,"ELECPL","Eleco plc"
1776,0,"EIVP  I","EIS Group plc"
1777,0,"ELECITK","Electric & General Inv Trust"
1778,1,"RSGROU","RS Group plc"
1786,0,"ELRY  5","Elliott (B) plc"
1791,0,"ELSE  O","Ellis & Everard"
1812,0,"FOFOS 9","Fortress Holdings plc"
1825,0,"ENJW  C","English China Clays plc"
1827,0,"INXUW Z","INVESCO English & Intnl Tst"
1828,0,"KLPA  O","Kleinwort Overseas Investmnt"
1831,0,"HENDE N","Henderson Global Trust plc"
1856,0,"ESTV  3","Estates & Agency Holdings"
1857,0,"ESUA  R","Estates & General plc"
1869,0,"EVDA  2","Evans of Leeds"
1882,0,"MWBGRO1","MWB Group Holdings plc"
1886,0,"EXMY  J","Expamet International plc"
1889,0,"ELOROIR","El Oro & Exploration Co plc"
1895,3,"BGEGTP","Baillie Gifford European Grw"
1906,0,"FRPH  P","Frogmore Estates plc"
1915,0,"PRCLF W","Premier Farnell plc"
1927,0,"USPY  U","Usborne plc"
1930,0,"FEOG  W","Fenner plc"
1946,0,"STURET","Studio Retail Group plc"
1950,0,"FIKP  8","Finlay (James)"
1958,0,"HYDCNSH","Hyder Consulting plc"
1961,3,"FIWH  1","Fisher (James) & Sons"
1965,3,"DULS  S","Dunedin Income Growth Inv Tr"
1984,0,"COAYV O","Cobham plc"
1992,0,"FOBQ  0","Folkes Group"
1997,0,"FIEB  9","FII Group plc"
2009,2,"FANDCI","F&C Investment Trust plc"
2010,0,"FOMY  V","Forminster plc"
2014,0,"FOQW  D","Fortnum & Mason"
2022,0,"FOTG  Z","Foster(John) & Son plc"
2049,0,"FRLB  9","French plc"
2073,0,"GRAB  *","G R Holdings plc"
2074,0,"GTEE  8","G.T.Japan Inv.Tr."
2088,3,"GATRYH","Galliford Try Holdings plc"
2101,0,"GAMW  Y","Garton Engineering"
2108,0,"GAOO  N","Gaskell plc"
2118,0,"GECT  1","General Accident plc"
2121,0,"GEAA  *","GEI International"
2124,0,"TELENTD","telent plc"
2129,3,"BALGIF","Baillie Gifford China Growth"
2132,0,"FOKA  H","Foreign & Colonial German Iv"
2138,0,"GENZ  5","Gerrard Group plc"
2146,0,"GIIU  L","Gieves & Hawkes plc"
2160,-1,"GSKPLC","GSK plc"
2162,3,"MJOIUK","Gleeson (M J) plc"
2165,0,"MUMYT 9","Murray TMT plc"
2178,0,"AGARGG1","Aga Rangemaster Group plc"
2184,0,"SAOSUN7","Sanctuary Group plc"
2221,0,"MAMAL 3","Malcolm Group (The)"
2222,-2,"ITVEX N","ITV plc"
2241,2,"GRIO  Q","Great Portland Estates plc"
2243,-1,"EXPIR Y","Experian plc"
2255,0,"DEDVR G","De Vere Group plc"
2257,0,"GRLL  K","Greene King plc"
2258,0,"HENR  W","Henderson Greenfriar Inv Tr"
2265,1,"BAUNQ A","Barratt Developments"
2273,0,"GRNG  V","Gresham House plc"
2303,0,"GUEY  8","Guardian Royal Exchange"
2304,0,"GKOU  V","GKN plc"
2307,-1,"DIATO ","Diageo plc"
2345,0,"HAEA  2","Hall Engr(Hldgs)"
2356,1,"HAFG  2","Halma plc"
2357,0,"JAJHD F","James Halstead plc"
2361,0,"HAGF  0","Hambros plc"
2365,2,"HAHPY Q","Hammerson plc"
2369,0,"HAIE  S","Hampson Industries plc"
2381,0,"HAMT  *","Hanson plc"
2389,0,"HAOQ  0","Hardys & Hansons plc"
2407,2,"ELOPC Z","Elementis plc"
2432,0,"HAVX  R","Hawtin plc"
2438,0,"NORMH C","Norman Hay plc"
2441,0,"HAWW  P","Hazlewood Foods plc"
2444,3,"HEAI  K","Headlam Group plc"
2460,3,"HELIPL","Helical plc"
2473,0,"SHEXB 4","Sheffield United plc"
2477,0,"HEQQ  G","Hepworth"
2478,-1,"NEXGRPU","Next plc"
2491,0,"HEZG  3","Heywood Williams Group plc"
2493,0,"HEYC  U","Hewden Stuart plc"
2496,0,"HIBG  G","Hicking Pentecost"
2498,0,"HIBS  U","Hickson Internatnl plc"
2504,0,"RAVPLCZ","Raven Mount Group plc"
2507,2,"MIRB  C","MITIE Group plc"
2509,0,"HIFC  8","Highland Distillers plc"
2516,0,"MCTK  J","McLeod Russel Hldgs plc"
2520,2,"HILSMTL","Hill & Smith Hldgs plc"
2556,0,"HOEH  Z","Hollas Group"
2575,0,"HOGC  9","Home Counties Newsps Hdgs"
2591,0,"CARBO A","Carbo plc"
2617,0,"HOQD  8","Howard Holdings plc"
2650,3,"HUPO  5","Hunting plc"
2666,0,"IBWXN 1","Ibstock plc"
2675,0,"IMQM  9","Imperial Chemical Industries"
2679,2,"IMFK  M","IMI plc"
2686,0,"INARI V","Inch Kenneth Kajang Rubber"
2687,2,"INARX N","Inchcape plc"
2741,0,"CTUKH ","CT UK High Income Trust plc"
2742,0,"INYQZ 2","Investment Co plc"
2756,0,"JOJV  F","Johnston Group plc"
2757,0,"JABC  O","Jacks(William) plc"
2762,0,"BOTS  R","Bourne End Properties plc"
2764,0,"BIBID 8","Bidcorp"
2774,0,"EURC  G","European Motor Hldgs plc"
2776,0,"JAQA  3","Jarvis plc"
2790,0,"JEKGB C","Jermyn Investment Properties"
2791,0,"JEKU  C","Jerome Group plc"
2810,0,"JOJG  G","Johnson Service Group"
2813,2,"JOIC  6","Johnson Matthey plc"
2815,0,"FIVPP 4","Firth Rixson plc"
2825,0,"JONM  W","Jones & Shipman"
2829,0,"JOQT  D","Jones Stroud (Hldgs)"
2833,0,"JOTQ  7","Jos Holdings plc'Inc'"
2834,0,"LEPQD 6","Leopold Joseph Hldgs"
2837,0,"JOWN  1","Jourdan plc"
2838,0,"JOXM  *","Jove Inv Trust 'Inc'"
2856,0,"KADZ  U","Kalamazoo Computer Group plc"
2893,0,"KEFK  A","Kelsey Industries"
2903,0,"GFSPLCX","G4S plc"
2922,3,"KEYPOS","Keystone Positive Change IT"
2961,0,"KOCA  8","Kode International"
2986,0,"CRIF  C","Creston plc"
2987,0,"KWQA  7","Kwik Save Group"
2990,0,"BIBQE 2","Bioquell plc"
2992,0,"LOKE  U","London International Group"
2995,0,"LERI  Y","Leslie Wise Group plc"
2998,0,"LABCOR","Ladbrokes Coral Group plc"
3003,0,"LAEL  6","Laing (John) plc"
3007,0,"GOXI  L","Govett Oriental Inv Tst"
3011,0,"LAFP  G","Lambert Howarth Group plc"
3014,0,"LAFZ  3","Lamont Holdings"
3019,0,"FILO  6","Finsbury Smaller Cos Tr 'B'"
3031,-1,"LAHEGPX","Land Securities Group plc"
3043,0,"LAKU  U","Laporte plc"
3046,0,"LAMO  9","Latham (James) plc"
3052,2,"LAOF  3","Law Debenture Corpn"
3066,2,"VESIUSA","Vesuvius plc"
3081,0,"LEGW  4","Leeds Group plc"
3087,-1,"LEGGP 9","Legal & General Group plc"
3093,0,"LEOA  L","Lendu Holdings"
3109,2,"COUGRP","Coats Group plc"
3113,0,"RACRAC6","RAC plc"
3115,0,"KAFO  Y","Kalon Group plc"
3116,0,"LIAY  T","Liberty plc"
3154,3,"REACHP","Reach plc"
3159,-1,"LLOBANB","Lloyds Banking Group plc"
3167,0,"LOBW  3","Locker Group plc"
3176,0,"LOFT  R","London & Associated Prps plc"
3197,0,"STVTW 6","Stratagem Group"
3200,3,"HENFOCX","Henderson European Focus Tr"
3201,3,"JPMORQ","JPMorgan European Grw & Inc"
3208,0,"LOGS  P","London & Manchester Group"
3210,0,"LOKO  H","London Merchant Securities"
3229,0,"LOIA  R","London & St Lawrence Inv"
3234,0,"GAMQM Z","Gartmore Smaller Companies"
3239,0,"SEEML P","Second London American Trust"
3250,0,"LOLMI 3","Lonmin plc"
3258,0,"ENNSA B","Ennstone plc"
3259,0,"RENEW J","Renew Holdings plc"
3261,0,"LOTM  1","Low & Bonar plc"
3263,0,"SMRAPCI","Smart Approach Group plc"
3266,3,"LOUM  V","Lowland Investment Co"
3270,0,"LUBN  J","LucasVarity plc"
3282,0,"LYDS  A","Lyles (S) plc"
3293,0,"SEGJB J","Sedgemoor plc"
3296,0,"MYBG  Y","M.Y. Holdings plc"
3306,0,"GLIY  5","Glenmorangie plc 'A LVR'"
3312,0,"MCQK  3","McKay Securities"
3313,0,"MCQQ  A","McKechnie plc"
3316,0,"INFST W","Infast Group plc"
3337,3,"MAGBP S","Majedie Investments plc"
3361,0,"CHRYSPF","Chrysalis plc"
3373,0,"MAKAG W","Manders plc"
3376,0,"MAKEV 4","Manganese Bronze Holdings"
3384,0,"MALGY F","Mansfield Brewery plc"
3393,0,"MCCC  U","McAlpine (Alfred) plc"
3400,-2,"MAPGP E","Marks & Spencer Group"
3402,0,"MAQJA 0","Marley plc"
3417,2,"MARSHAI","Marshalls plc"
3419,0,"MARNC 4","Marston Thompson"
3423,0,"MARWX 7","Martin International Hdgs pl"
3447,0,"MAWVB 6","Matthews(Bernard)"
3468,1,"MEGM  4","Meggitt plc"
3485,0,"MENTMRM","Mentmore plc"
3486,3,"MEKM  D","Menzies (John) plc"
3489,2,"MEMRC C","Mercantile Inv Trust (The)"
3491,2,"MEMF  Y","Merchants Trust"
3503,0,"NONVR 2","Novar plc"
3507,0,"MESL  *","Metalrax Group plc"
3511,0,"MEKP  Z","MEPC"
3568,0,"MSFE  8","MS International plc"
3595,2,"MOFF  A","Monks Inv Trust"
3601,0,"PEPV  5","PEX plc"
3606,0,"MOIS  Z","Martin Currie Moorgate I T"
3607,0,"YOMA  F","Yorklyde plc"
3614,2,"MORADVZ","Morgan Advanced Materials"
3618,0,"MOMJR 8","Morland plc"
3626,0,"MONC  6","Morrison (Wm) Supermarkets"
3632,0,"MOOY  0","Moss Bros Group plc"
3647,0,"MORW  Q","Mountview Estates"
3649,0,"MOWLEMY","Mowlem plc"
3652,0,"MUAI  1","Mucklow (A.&J.) Group"
3662,2,"RENOPL","Redde Northgate plc"
3663,0,"FOSC  P","Forward Technology"
3683,0,"NAEY  Q","Narborough Plantations"
3687,-1,"NATPLC","NatWest Group plc"
3701,0,"NANA  9","Natnl Westminster Bank plc"
3707,0,"NEBU  N","Neepsend plc"
3769,0,"DCTK  P","DCS Group plc"
3776,0,"NOEM  6","Norcros plc"
3785,0,"OVLW  2","Overseas Investmnt Tst plc"
3805,0,"DUME  H","Dunedin Worldwide Inv Trust"
3808,0,"NOOG  3","Northern Foods"
3843,0,"EXEXL H","Exel plc"
3844,3,"OCLW  Q","Ocean Wilsons (Hldgs)"
3845,0,"CHDYF H","Charles Stanley Group plc"
3853,0,"OEDS  6","OEM plc"
3868,0,"OLMK  H","Oliver Group plc"
3872,0,"OLNT  2","Olives Property plc"
3911,0,"PAFW  3","Padang Senang Hldgs plc"
3932,0,"GAGLL V","Gaucho Grill"
3949,0,"PASG  T","Parkland Group plc"
3968,2,"PZCUSSQ","PZ Cussons"
3986,1,"PEAV  *","Pearson plc"
4002,0,"PEEH  4","Peninsular & Oriental 'Dfd'"
4021,0,"NANAC A","Nationwide Accident Repair"
4050,3,"PHUA  5","Photo-Me International"
4060,0,"PIFL  7","Pifco Holdings plc"
4061,0,"PIGV  O","Pilkington plc"
4069,0,"PISE  P","Pittards plc"
4077,0,"HEPS  D","Henlys Group plc"
4081,0,"PLVY  J","Plysu plc"
4098,0,"POLW  T","Porter Chadburn"
4103,0,"PONM  S","Portsmouth & Sund. News"
4106,0,"POSD  1","Powell Duffryn plc"
4118,1,"HARBEN","Harbour Energy plc"
4154,0,"PROQ  5","Property Partnerships"
4160,2,"PRQY  P","Provident Financial plc"
4168,1,"PRDL  X","Prudential plc"
4193,0,"QUKU  4","Queens Moat Houses plc"
4196,0,"QUQM  2","Quicks Group plc"
4204,0,"RAAY  2","Racal Electronics plc"
4206,0,"RACK  L","Radiant Metal Finishing"
4215,0,"RAFT  T","Raglan Properties plc"
4238,3,"RAPPV Y","Rank Group plc"
4241,0,"RAQE  R","Ransom (William) & Son"
4243,0,"RAQI  7","Ransomes plc"
4248,0,"SIGJE 3","Signet Jewelers Ltd"
4254,0,"REAF  G","Rea Bros Group plc"
4255,0,"CHDCI 7","Chapelthorpe plc"
4256,0,"RMIR  Y","RMC Group plc"
4259,-1,"RERBAG3","Reckitt Benckiser Group plc"
4271,0,"STCTC E","St Modwen Properties plc"
4276,0,"AUHK  O","Austin Reed Group plc"
4277,0,"REFB  1","Reed Executive plc"
4279,0,"WHCM  H","Whatman plc"
4283,0,"UNKWM R","United Assurance Group plc"
4284,0,"LOLG  D","London Scottish Bank plc"
4289,1,"RELXPL","RELX plc"
4294,0,"REKX  4","Relyon Group plc"
4298,0,"REMT  A","Renold plc"
4300,1,"REOI  E","Rentokil Initial plc"
4325,3,"RIRCD E","Ricardo plc"
4330,0,"RIDJ  5","Richardsons, Westgarth"
4345,1,"RTSM  N","Rio Tinto"
4412,2,"ROKP  8","Rotork plc"
4440,0,"RUKA  H","Rugby Group plc"
4447,0,"RUUA  L","Russell(Alexander) plc"
4457,0,"BUDD  0","Budgens plc"
4461,3,"SUAA  0","S & U plc"
4467,2,"CLQH  C","Close Brothers Group plc"
4473,0,"STADS N","St Andrew Trust plc"
4501,0,"CDCDB 0","C D Bramall plc"
4513,0,"SAZDY 2","Saville Gordon Estates plc"
4515,0,"SAZJQ X","Savoy Hotel plc'A'"
4519,0,"SCBI  3","Scapa Group plc"
4523,1,"SCSDR D","Schroders plc"
4526,0,"BRNQ  9","British Polythene Industries"
4531,2,"SCKQ  B","Scottish Amer Inv Co plc"
4542,2,"FILN  B","Finsbury Growth & Income Tr"
4546,0,"SCLC  0","Scottish Eastern Inv Tr"
4547,0,"SEGT  2","SEET plc"
4549,3,"VALUQ ","Value & Indexed Prop Inc Tr"
4552,3,"SCLL  T","Scottish Investment Trust"
4557,0,"HANICL","Hansa Investment Company Ltd"
4558,0,"SCLP  9","Scottish Metropolitan Prop"
4560,1,"SCOTMIE","Scottish Mortgage Inv Trust"
4561,0,"SCKL  *","Scottish & Newcastle"
4572,2,"MUSE  6","Murray International Trust"
4583,0,"SECX  A","Sears plc"
4586,0,"SEEH  2","Second Alliance Trust"
4599,0,"MUMGB 5","Murray Global Return Tst"
4614,2,"MUSA  Q","Murray Income Tst plc"
4619,3,"SECSCTF","Securities Trust of Scotland"
4622,0,"SEGK  A","Sedgwick Group"
4639,3,"SENPL L","Senior plc"
4658,0,"MAYUS K","Mayflower Corporation plc"
4659,0,"SHDH  D","Sharpe & Fisher plc"
4676,1,"SHEPLC","Shell plc"
4683,0,"SHID  Z","Shiloh plc"
4687,0,"SHMIM R","Shires Income plc"
4696,0,"SICS  S","Sidlaw Group plc"
4699,0,"INISYSE","Invensys plc"
4718,0,"SIIN  B","Simon Group plc"
4724,0,"SIKU  *","Singapore Para Rubber Estate"
4729,0,"MELY  K","Merchant Retail Group plc"
4730,0,"AIREA C","AIREA plc"
4734,0,"SESRA 9","Semara Holdings plc"
4739,0,"INVSCOY","Invesco plc"
4740,0,"SLLA  M","Slingsby(H.C) plc"
4744,1,"SEGPLC9","SEGRO plc"
4751,1,"SMTHDSA","Smith (DS) plc"
4754,1,"SMMS  P","Smith & Nephew plc"
4758,2,"WHSMITF","Smith WH plc"
4763,-1,"SMIGRPJ","Smiths Group plc"
4779,0,"ITWOS I","I2S plc"
4781,0,"CAINVH","Caribbean Investment Hldgs"
4804,0,"HAIM  P","Hampton Trust plc"
4824,0,"WATK  M","Water Hall Group plc"
4836,1,"SPPN  X","Spirax-Sarco Engineering plc"
4837,0,"COATS L","Coats plc"
4840,0,"LIPY  Z","Lionheart plc"
4846,0,"RILQ  P","Ring plc"
4854,0,"STFAE 8","Stakis plc"
4856,1,"STCHP Z","Standard Chartered plc"
4883,0,"STMQQ S","Staveley Inds plc"
4897,0,"ALFH  4","Alexon Group plc"
4911,0,"STQKM 5","Sterling Industries plc"
4915,2,"JPAMEIY","JPMorgan American IT"
4931,0,"STRLG B","Stirling Group plc"
4935,0,"ADBH  9","Adam & Harvey Group plc"
4936,0,"STSZW Y","Stoddard International plc"
4942,0,"CAYPS R","Cathay International Hldgs"
4963,0,"DRXO  Y","Drummond Group plc"
4970,0,"STYWE O","Stylo plc"
4978,0,"RSAINS","RSA Insurance Group Ltd"
5014,0,"BACHM U","Banner Chemicals plc"
5027,0,"SYIC  1","Syltone plc"
5031,0,"SYLB  M","Symonds plc"
5035,0,"BOUC  Q","Boustead"
5049,0,"TAKF  1","Tanjong plc"
5056,0,"TALT  Z","Tarmac plc"
5061,-2,"TANI  2","Tate & Lyle plc"
5077,1,"TAYWIMG","Taylor Wimpey plc"
5098,2,"TEKN  S","Temple Bar Inv.Tr"
5118,-1,"TEPH  N","Tesco plc"
5121,0,"TEQS  Z","Tex Holdings"
5127,0,"ECLP  6","Eclipse Blinds plc"
5131,0,"ERBH  P","Era Group plc"
5152,0,"EMJGG I","EMI Group plc"
5158,0,"FRAQCM5","Framlington Dual Tr'Inc'"
5160,2,"BLATHT5","BlackRock Throgmorton Trust"
5162,0,"INTSER*","Interserve plc"
5168,0,"TIMS  J","Time Products plc"
5187,0,"TOII  V","Tomkins plc"
5188,0,"TOIK  L","Tomkinsons plc"
5199,0,"TOQK  2","Town Centre Securities"
5203,0,"TOQV  L","Toye & Company plc"
5211,0,"TRBU  O","Trafford Park Estates"
5216,0,"TDTDG F","TDG plc"
5232,0,"TRKV  U","Tribune Trust 'Ord'"
5238,0,"TRNR  T","Triplex Lloyd plc"
5252,2,"TRAQ  E","TR Property Inv Tr"
5253,2,"HEOJ  S","Henderson Smaller Cos Inv Tr"
5255,0,"TIBE  I","TI Group plc"
5263,0,"TNAA  R","T & N plc"
5276,3,"TTELCT6","TT Electronics plc"
5289,0,"UNIQXX9","Uniq plc"
5290,1,"UNEG  U","Unilever plc"
5294,0,"UNEX  J","Union plc"
5301,0,"UNLD  X","United Biscuits"
5305,3,"JPMOGL","JPMorgan Global Growth & Inc"
5331,0,"UBMPLCB","UBM plc"
5338,0,"ALTX  B","Alvis plc"
5341,0,"UNOG  Y","United Industries plc"
5352,0,"ABIUG H","Abbot Group plc"
5355,0,"UPHN  Q","Updown Investment"
5388,0,"SWCAB 5","Swallow Group plc"
5405,0,"VIBU  N","Vickers plc"
5407,0,"VIDC  P","Victoria plc"
5415,3,"VIDPLC","Videndum plc"
5431,0,"WAAU  V","Wace Group plc"
5433,0,"WABJF Y","Waddington plc"
5440,0,"WACC  X","Wagon plc"
5448,0,"SANDES","Sanderson Design Group plc"
5452,0,"SPTOM 8","Springwood plc"
5470,0,"WALS  1","Ward Holdings"
5472,0,"VOLEX G","Volex plc"
5486,0,"WAOF  8","Warner Estate Hldg plc"
5487,0,"WAOR  M","Warnford Invs plc"
5500,0,"WAUH  U","Watmoughs(Hldgs.)"
5504,0,"ALLP  X","Alldays plc"
5505,0,"WAVN  U","Watts,Blake,Bearne"
